번호,작성자,작성일,댓글,회차,좋아요,대댓글수
6489,오타가잇다면스마미셍,17.06.22,"아항 미소가 기억을 바꾼게 아니라 영준이가 거미라고했기때문에 커다란 거미라고 기억하는거구나
그나저나 가족이 미소가 납치되적은 없었다고 기억하는거보면 곧 빠져나가겠네요ㅠㅜㅜㅠ
영ㅇ준이만 엄청 고생한ㅠㅜㅠ",김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6490,꿈꾸는아저씨!!!,17.06.22,납치사건의 진실이 애매하네....,김 비서가 왜 그럴까(애장판) 24화,2,댓글 달기
6491,재벌쭈★,17.06.18,ㅋㅋ밀당도 못하는 집착남 이영준~,김 비서가 왜 그럴까(애장판) 59화,2,댓글 달기
6492,류한,17.06.18,성현이랑 성연이라니... 애초에 형제끼리 이름이 너무 비슷하잖아^^;,김 비서가 왜 그럴까(애장판) 27화,2,댓글 달기
6493,해피바이러스,17.06.17,홍삼은 변함이 없네요ㅎㅎ,김 비서가 왜 그럴까(애장판) 83화,2,댓글 달기
6494,슈레기소식듣고마이크잡음,17.06.17,만화로보다가 넘어왔슴다 크윽,김 비서가 왜 그럴까(애장판) 01화,2,1
6495,시천,17.06.17,"""나의 아들들은 왜 그럴까?""
소장하고 싶은 대화인데~
9살 천재의 추리가 저 정도 일지~
천재 성현을 만나보고 싶네요~
복 많은 부모~ 며느리도 복 덩어리~
5살 미소 같은 딸 갖고프다.",김 비서가 왜 그럴까(애장판) 52화,2,댓글 달기
6496,뱃살이랑,17.06.17,ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 36화,2,댓글 달기
6497,오타가잇다면스마미셍,17.06.17,"나도 첨엔 목매단 시체인가 했는데
어무리 어린애라지만 사람그림자를 거미로 볼 수가 있나?
공통점은 어딘가에 매달려있다뿐인데...
애들은 거미 좀 동글동글하게 그리는 경향이 있어서 아니라고 생각했는데...또 막 힘들고 지쳐서 그렇게 볼수도 있나 싶고...
어디 선발대 없나요 대 댓좀ㅠㅠ",김 비서가 왜 그럴까(애장판) 49화,2,댓글 달기
6498,토깽,17.06.16,상상이 된다 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6499,뱃살이랑,17.06.16,헐. 미소의  철저방어,김 비서가 왜 그럴까(애장판) 35화,2,댓글 달기
6500,LHJ,17.06.15,부부는 닮는다더니...ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 58화,2,댓글 달기
6501,쩡아♥,17.06.15,"오~~~ 좋으다~~
이대로 쭈욱 진도 나가자",김 비서가 왜 그럴까(애장판) 38화,2,댓글 달기
6502,홍수일,17.06.14,분명 심각한 상황인데 미소 덕분에 심각한 분위기는 저 멀리 간 것 같네요,김 비서가 왜 그럴까(애장판) 52화,2,댓글 달기
6503,박지영,17.06.14,태양이 아빤 내가 봐도 쫌 그래ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 70화,2,1
6504,꼼찌슈,17.06.13,9년동안 많은걸 쌓고 사느라 힘드셨구랴..,김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6505,꼬꼬지은,17.06.12,어서와 김비서가 왜 그럴까 처음 읽지ㅋㅋㅋ잼나욤ㅎㅎ,김 비서가 왜 그럴까(애장판) 73화,2,댓글 달기
6506,뱃살이랑,17.06.12,빙글빙글   도는 의자  회전의자에,김 비서가 왜 그럴까(애장판) 32화,2,댓글 달기
6507,당신의이해를돕기위하여,17.06.12,이 남자 연애까지 잘하는건 반칙아냐??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 36화,2,댓글 달기
6508,재벌쭈★,17.06.12,나쁜사람이다 진짜ㅠㅠ 엉엉 영준아ㅠㅠ정말 무서웠을텐데...미소 먼저 챙기고ㅠ저런걸 보고도...다 기억하는데도  잘 자라준거 너무 고맙다ㅠㅠ,김 비서가 왜 그럴까(애장판) 54화,2,댓글 달기
6509,얼굴천재얼굴알파고,17.06.11,아 ㅠㅠㅜㅜ,김 비서가 왜 그럴까(애장판) 42화,2,댓글 달기
6510,♡LovelySong♡,17.06.10,박유식사장 결국 재결합했네욬ㅋㅋ축하,김 비서가 왜 그럴까(애장판) 84화(완결),2,1
6511,얼굴천재얼굴알파고,17.06.09,성연이 얘기듣고얼굴색변하는 부모라...뭔가 수상한구석이 많다,김 비서가 왜 그럴까(애장판) 40화,2,댓글 달기
6512,오타가잇다면스마미셍,17.06.08,"과거엔 이름도 달랐던건가???근데 미소 기억에는 성현이라고하는뎅...뭘까요...
하긴 엄마 입장에서는 그거 까발리기도 뭐할거같긴함...
겉으로나마 화목한 가정으로 포장되어있는데 시간도 한참지나 썩어버린 기억을 끄집어내는거니까...나이도 있으신 분들이라 두려우신듯",김 비서가 왜 그럴까(애장판) 43화,2,댓글 달기
6513,JJ(제이제르.제희재이),17.06.07,"그동안 눈감으면 귀신이 보여서 
잠도 제대로 못 잔 울 부사장님
미소땜에 귀신 떨쳐내고 숙면하시네",김 비서가 왜 그럴까(애장판) 41화,2,댓글 달기
6514,뱃살이랑,17.06.07,재수?,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6515,다소미,17.06.06,빤스.빤스..빤빤스으~~~~~,김 비서가 왜 그럴까(애장판) 47화,2,댓글 달기
6516,해피바이러스,17.06.04,사랑스러운 가족의 모습이네요,김 비서가 왜 그럴까(애장판) 82화,2,댓글 달기
6517,김유경,17.06.03,영준이가 왜 한순간 소름이~~~,김 비서가 왜 그럴까(애장판) 44화,2,댓글 달기
6518,재벌쭈★,17.06.02,역시 미소는 똑똑했어!! 어린 영준이 얼마나 힘들었을까ㅠㅠ,김 비서가 왜 그럴까(애장판) 44화,2,댓글 달기
6519,꼼찌슈,17.06.01,"영준한테는 미소가
미소한테는 영준이
서로가 치유제가 되주면 되겠네요..
누구도 모르는 끔찍한 아픔을 나눈만큼 
누구보다 끈끈하고 오래오래 사랑하셔~~",김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6520,lres,17.06.01,형 이름을 쓰나...?,김 비서가 왜 그럴까(애장판) 18화,2,댓글 달기
6521,그니마눌,17.05.31,영준이 멋지네요~~남자네....,김 비서가 왜 그럴까(애장판) 48화,2,댓글 달기
6522,매우기모띠,17.05.31,영주니 인생 2회차??생각하는거 진짜똑똑이야...♡,김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6523,Ella,17.05.30,아아아ㅠㅠ 하아ㅠ 진짜 너무 맘이 아프네요ㅜㅠ 저 상황에서 영준이가 어른스럽게 행동하긴했지만 영준이도 아이였던걸요ㅜ 그러니 그 흉터와 맘의 상처와 트라우마 안고 살아왔죠 그동안ㅠㅠㅠㅠ 저런 일 겪은 적이 없으니 잘 모르지만 미소랑 영준이가 함께 치료하고 행복해졌으면 좋겠네요ㅠㅠ,김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6524,꼼찌슈,17.05.29,"가해자니 피해자니 하는게 의미가 없어지네요..
영준이를 납치한 여자도 이런저런 의미에서 가해자이자 피해자였을테니..
트라우마속에 남게된 영준과 미소만 불쌍해지네요..",김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6525,왜이러쎄염,17.05.29,"영준네 아파트도 아니고
미소네 원룸... 방음은 어떨런지..
안돼요 안돼요 돼요 돼요 돼요 하앍~~
벽뒤에 귀쫑끗",김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6526,뱃살이랑,17.05.28,비유가  적나라하게,김 비서가 왜 그럴까(애장판) 20화,2,댓글 달기
6527,밤고구마☆,17.05.28,어머..정말 넘나 좋다 므흣,김 비서가 왜 그럴까(애장판) 65화,2,댓글 달기
6528,뱃살이랑,17.05.27,이해심.   9년을  같이 보내니  닮았다고,김 비서가 왜 그럴까(애장판) 19화,2,댓글 달기
6529,얼굴천재얼굴알파고,17.05.26,성연아......미소는 저스트 니책더쿠일뿐이여.....정신차료라.,김 비서가 왜 그럴까(애장판) 31화,2,댓글 달기
6530,마향,17.05.25,어디서 좋다는 태몽은 죄다 가져다 붙이고 ~~;;;   ㅎㅎㅎㅎ 재밋습니다 ~~ 좋은 결과 부탁드립니다 네쌍둥이도 ㅎㅎ괜찮고 돈 있겠다 집안 좋겠다 ~~ 키워줄 사람 있겠다 ~ 미소 땡잡았네요 ^^,김 비서가 왜 그럴까(애장판) 67화,2,댓글 달기
6531,아름다운마음,17.05.25,ㅂㅇ0ㅇ0,김 비서가 왜 그럴까(애장판) 74화,2,댓글 달기
6532,한입만,17.05.24,작가님 외전 손꼽아 기다렸어요. 영준♡미소 다시보니 행복하네요^^,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6533,ㄱㄹㄸ,17.05.24,으으 진심 영준이랑 미소 뭔 이런 고생을..ㅠㅠ,김 비서가 왜 그럴까(애장판) 54화,2,댓글 달기
6534,투덜마미,17.05.23,귀욤귀욤하네 고것들^^~~,김 비서가 왜 그럴까(애장판) 52화,2,댓글 달기
6535,슈슈♡,17.05.23,"영준이 발목에 상처있지않았나요?
거꾸로 매달려있었던건아닌지..
ㅠㅠ",김 비서가 왜 그럴까(애장판) 23화,2,댓글 달기
6536,재벌쭈★,17.05.23,분위기 좀 잡고 진도 나가나 했더니ㅋㅋ 역시나ㅋㅋ,김 비서가 왜 그럴까(애장판) 32화,2,댓글 달기
6537,이미테이션~♡♡♡♡♡♡♡♡♡♡,17.05.23,하하.............. 만화 김비서가.... 그거 다 무료로 해주세요..... ㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 78화,2,댓글 달기
6538,이쁜복덩이,17.05.23,뭐야...제발 진도좀 나가요~~~~,김 비서가 왜 그럴까(애장판) 32화,2,댓글 달기
6539,코코,17.05.22,8시간 무료가 왜 1일 무료로 다시 바뀌었나요 ㅠㅠ,김 비서가 왜 그럴까(애장판) 58화,2,2
6540,얼굴천재얼굴알파고,17.05.22,아 내가 다 불안쓰 ....나도 아침에 기분안좋은일있음그날 점심까지 재수없어서,김 비서가 왜 그럴까(애장판) 29화,2,댓글 달기
6541,김장로,17.05.22,참 영준이 넘 멋있다. 속도 깊고 미소를 아끼고 뱊려하는 영준의 모습 굿~굿~,김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6542,오타가잇다면스마미셍,17.05.22,크으...하필 그때 트라우마 터지냐ㅋㅋㅋㅋ본인이 완벽하면 뭐해...연애고자에 심각한 나르시스트인데...ㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 33화,2,댓글 달기
6543,지니엘,17.05.22,태양이 웃긴다ㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6544,스노우드롭,17.05.22,"대쪽같은 사랑꾼 영준씨!
사랑에 빠질 수 밖에 없구나//",김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6545,밀크베리,17.05.22,연준이늬 형....정말 나약하고 찌질한 스타일이지만....형이니까 동정심으로 참아준다.....,김 비서가 왜 그럴까(애장판) 24화,2,댓글 달기
6546,그니마눌,17.05.22,어째 입술 한번 트고나더니 이젠 틈만나면 입술 사이즈만 재려고 하네....그거 고만하고 다음 진도 뺍시다~~,김 비서가 왜 그럴까(애장판) 43화,2,댓글 달기
6547,천천,17.05.22,으악 소름소름 지금 새벽인데 상상했다.....젠장,김 비서가 왜 그럴까(애장판) 49화,2,댓글 달기
6548,꼼찌슈,17.05.21,"영준이 너란 남자.......
그 몹쓸 여자가 애들한테 뭔짓을 한겨 대체!!!",김 비서가 왜 그럴까(애장판) 41화,2,댓글 달기
6549,션션,17.05.21,9살 아닌 듬직한오빠엿어~♡ 사실 너무 무서웟을텐데.. 저 충격을 어찌 잊은척 하고 잇는지..대단하네요,김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6550,션션,17.05.21,ㅍㅎㅎㅎ 이미 미소가 영준이를 찜콩햇네~ 너무 귀여워요~ 나나세트 다섯개보다 많아서 찜콩~~♡,김 비서가 왜 그럴까(애장판) 52화,2,댓글 달기
6551,지로냥,17.05.21,ㅋㅋㅋ 아진짜 ㅋㅋㅋㅋ 뭐라 할말이 없네 ㅋㅋ 넘웃겨...ㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6552,천천,17.05.20,네 이제 어머니 중심을 잘 잡아주세요,김 비서가 왜 그럴까(애장판) 46화,2,댓글 달기
6553,서브람,17.05.20,"저런 모질이가 커서 전국에서 수위를 다투는 수재가 된다니!!
여주버프 쩔어 ㅎㅎㅎ",김 비서가 왜 그럴까(애장판) 52화,2,댓글 달기
6554,천천,17.05.20,아무리 어렸어도 용서가 안된다,김 비서가 왜 그럴까(애장판) 44화,2,댓글 달기
6555,초혼사,17.05.20,용서 했다면서 원망 안한다면서 말하는거 보면 미움이 느껴지고 심지어 증오심마져 느껴진다 가짜인 주제에 열등감과 질투심에 하지말아야 할 짓을 하고 오랜시간 정신 못차리고 동생을 상처주고 괴롭히는 웃기는 짬뽕 민폐남,김 비서가 왜 그럴까(애장판) 35화,2,댓글 달기
6556,꼼찌슈,17.05.20,"아무리 봐도 직장상사와 비서 같지만은 않단말야~~~~~
일부 사적인 부분까지 공유하고..
원래 비서가 그정도로 관여하는게 맞는건가요???",김 비서가 왜 그럴까(애장판) 37화,2,댓글 달기
6557,"젉기요,",17.05.19,글쎄... 그 사람들 중 얼마만큼은 정말 환경이 거지같았을 수도 있지,김 비서가 왜 그럴까(애장판) 11화,2,댓글 달기
6558,귀차니스트,17.05.19,미소 기억도 기억속 오빠도 찾았고 영준네 상황도 제자리를 찾아갈텐데ᆢ이제부터 어떤 이야기가 나올지 궁금!,김 비서가 왜 그럴까(애장판) 57화,2,댓글 달기
6559,ㄱㄹㄸ,17.05.19,너무 잘나도 탈이야,김 비서가 왜 그럴까(애장판) 45화,2,댓글 달기
6560,운수대통육절신검,17.05.19,만화 기무보다가 답답해서 넘어옴 완결 났으니 기무따위 현질완료 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 14화,2,댓글 달기
6561,지니엘,17.05.19,와ㅋㅋㅋ 최고ㅋㅋ,김 비서가 왜 그럴까(애장판) 63화,2,댓글 달기
6562,뱃살이랑,17.05.19,영준의  트라우마와 미소의 트라우마,김 비서가 왜 그럴까(애장판) 13화,2,댓글 달기
6563,뽀~♡,17.05.18,"말하는건 한 오백살 먹은 노인네같아 ㅋㅋ
재수없지만 쫌 잘났으니 괜찮네ㅋㅋ",김 비서가 왜 그럴까(애장판) 76화,2,댓글 달기
6564,콩콩이,17.05.18,영준과 미소 데이트 했네요.***,김 비서가 왜 그럴까(애장판) 16화,2,댓글 달기
6565,모야,17.05.18,"어째 셀카봉도 아시고...푸하하하
낚여도 어째저리 잘 낚이는지 걍 같이가자고 해~김비서~~미소야~~♡♡",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6566,ㄱㄹㄸ,17.05.18,"제발 부탁이야 라고 살을 내어주고, 데이트를 하자는 미소의 말을 들어 뼈를 끊었구나
대단하다 ㅇㅇb",김 비서가 왜 그럴까(애장판) 36화,2,댓글 달기
6567,욜리~♡,17.05.18,푸하하핫..영준 귀여워..연애까지는 봐줄께~~~허 얼~~><,김 비서가 왜 그럴까(애장판) 08화,2,댓글 달기
6568,No.1,17.05.18,세상에.저 트라우마를 우리 영준이와 함께라면...행복하게 해주세요.,김 비서가 왜 그럴까(애장판) 50화,2,댓글 달기
6569,콩콩이,17.05.18,"영준이 미소 서로 좋아하는거 같은데  왜 모르나??
후회하지 말고 결혼해!!",김 비서가 왜 그럴까(애장판) 15화,2,댓글 달기
6570,그니마눌,17.05.18,성연아~~꿈 깨라~~,김 비서가 왜 그럴까(애장판) 31화,2,댓글 달기
6571,별Gyu,17.05.18,유식이 주제에 거드름을 피다니!,김 비서가 왜 그럴까(애장판) 29화,2,댓글 달기
6572,No.1,17.05.18,미소가 과거속에서 건강하게 나올수  있기를..,김 비서가 왜 그럴까(애장판) 49화,2,댓글 달기
6573,오타가잇다면스마미셍,17.05.18,"징크스라니...진짜 배뎃분 말대로 불안하네요
형쪽은 애정결핍인거 같은데...기억 되찾아도 결국 '네가 조금만 더 못났으면 이런일은 없었겠지'따위의 말을 내뱉을 타입이라ㅡㅡ",김 비서가 왜 그럴까(애장판) 29화,2,댓글 달기
6574,순정만화보다가심쿵사~ㅋ♥,17.05.18,"솔직히... 아직은 재밌는지 모르겠음!!
여주나 남주 매력도 못느끼겠고....",김 비서가 왜 그럴까(애장판) 07화,2,댓글 달기
6575,재벌쭈★,17.05.17,외향적인 코털ㅋㅋㅋ 이글을 보는 남자분들은 지금 코털정리 한다 실시!,김 비서가 왜 그럴까(애장판) 20화,2,댓글 달기
6576,빵끗,17.05.17,"미소 어때
라고 왜 말을 못해요, 시아버님♥",김 비서가 왜 그럴까(애장판) 10화,2,댓글 달기
6577,지니엘,17.05.17,영준이가 그동안 얼마나 힘들었을지 미소 너는 이해할 수 있잖아...영준이한테 배려를 바라지마...조급해하는 걸 이해해줘,김 비서가 왜 그럴까(애장판) 60화,2,댓글 달기
6578,나리에ㅎ,17.05.17,표지도 바뀌고 좋아요,김 비서가 왜 그럴까(애장판) 81화,2,댓글 달기
6579,freely,17.05.17,"글게 말이야 암튼 김비서 영준이한테 죽었네 밤에
귀여운 토끼하나 더생기는것은 아닐지...ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 82화,2,댓글 달기
6580,Elie,17.05.17,"대단해,성현도 영준도.다 알면서 묻어두고.",김 비서가 왜 그럴까(애장판) 54화,2,댓글 달기
6581,sanhee74,17.05.17,우와..진짜..자기 죽는 모습을 9살 아이에게 보게 하다니..영준이 정신력 대단하다..그러고도 다 기억하고 있는거면..ㅠㅠ,김 비서가 왜 그럴까(애장판) 53화,2,댓글 달기
6582,모야모야,17.05.17,"박박사님 미리 축하~~
재결합에 성공하신듯요~~
미소네는 소식없나??",김 비서가 왜 그럴까(애장판) 66화,2,댓글 달기
6583,ㄱㄴㄷ,17.05.17,저돌적인데 좋아,김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6584,★24,17.05.17,미소가 언제부터 나무가 됐니?♥,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6585,랑코맘,17.05.16,ㅋㅋㅋㅋㅋㅋㅋ 재수 없는데 또 재수 없지 않은 그아빠에 그 아들!,김 비서가 왜 그럴까(애장판) 70화,2,댓글 달기
6586,이로아와,17.05.16,꿀잼일것 같아요 정주행하러 갑니다♥,김 비서가 왜 그럴까(애장판) 01화,2,댓글 달기
6587,모야모야,17.05.16,아버님 최고!!!ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 63화,2,댓글 달기
6588,이미테이션~♡♡♡♡♡♡♡♡♡♡,17.05.16,웹툰으로도 다 봤구요!! 이걸로도 다 봤다냐옹~!! 정말 재밌다냐옹!~,김 비서가 왜 그럴까(애장판) 02화,2,2
6589,건강한찐,17.05.16,영준아 개명했니?  니가 그 오빠라고 왜 말을 못해?  응?,김 비서가 왜 그럴까(애장판) 18화,2,댓글 달기
6590,내게있는능력썩힐필요없다!,17.05.16,처음부터 저랬구나;뭐 워낙 잘난사람이니 뭐 그러려니해야지 것도 매력이라 생각하면서^^~~,김 비서가 왜 그럴까(애장판) 75화,2,댓글 달기
6591,박미경,17.05.16,"보통인간은 절대로 이렇게 못하죠~~
역시 잘난 남자는 달라도 참 많이 다르구낭~~",김 비서가 왜 그럴까(애장판) 77화,2,댓글 달기
6592,박미경,17.05.16,"울 딸랑구한테 레이스 이야기 보내줬네요
넘어져도 다시 일어나 달려야지 
울고 있는다고 달라진건 없다고 . . . . . 
사춘기로 힘들어해서 말이죠~
작가님 글에 감동하고 갑니다",김 비서가 왜 그럴까(애장판) 76화,2,댓글 달기
6593,모야모야,17.05.16,"우와~~
그동안 어찌 참았스까???

도인영준님이 폭발하네요!!",김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6594,서순옥,17.05.16,잘보고갑니다,김 비서가 왜 그럴까(애장판) 47화,2,댓글 달기
6595,미키,17.05.16,기다리고 기다리던 외전이ㅠㅠ감사^^♡,김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6596,달려라,17.05.15,아빠와 딸이 둘다 홍삼을ㅋㅋ,김 비서가 왜 그럴까(애장판) 83화,2,댓글 달기
6597,짱이,17.05.15,외전~~~생각도못했는뎅작가님사랑합니다😍😍😍,김 비서가 왜 그럴까(애장판) 80화,2,댓글 달기
6598,김은선,17.05.15,영준이  정말 대단하네요~~부모님과  형을  위해 어린나이에 큰결정을  했네요~~모두를  위해  기억을  잃은걸 로~~미소와  잘됬으면   좋겠어요~~^^,김 비서가 왜 그럴까(애장판) 45화,2,1
6599,천천,17.05.15,ㅋㅋ 카트라이더~ 추억의 게임이지 그놈의 날개달린 물풍선이 제일 싫었어!!,김 비서가 왜 그럴까(애장판) 34화,2,댓글 달기
6600,키득키득,17.05.15,아.... 소장권 질러야할 타이밍인가.... 겁나 노골적인데 막 설렌다 ㅜㅜ,김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6601,melissa,17.05.15,원작도 재밋네요 ㅋㅋ,김 비서가 왜 그럴까(애장판) 12화,2,댓글 달기
6602,겨울이가을이엄마~^^♥,17.05.15,그런데 영준이가 시작해놓고서는 미소가 덮친거같이 기,김 비서가 왜 그럴까(애장판) 41화,2,댓글 달기
6603,머쪄,17.05.15,윽 또추가외전 결재해서다봤다는  책에없는거 추가에 또 추가,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6604,로즈,17.05.15,"재미 없을줄 알았는데 재미가솔솔~~
남주 은근 폭탄매력임.",김 비서가 왜 그럴까(애장판) 08화,2,댓글 달기
6605,모야모야,17.05.14,영준 잘해~~ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 60화,2,댓글 달기
6606,므녜키,17.05.14,ㅋㅋㅋㅋㅋㅋ곧휴,김 비서가 왜 그럴까(애장판) 75화,2,댓글 달기
6607,귤딩,17.05.13,태양이 핵졸귀ㅋㄱㅋ,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6608,크리스탈,17.05.13,역시 태양이는 영준이의 판박이 붕어빵이다~^^,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6609,펭하서영~♡,17.05.13,이미 지난과거 되돌릴수없다고 묻어두면안되는거죠.. 영준이가 그동안 얼마나 고통스러운지 느끼고 용서빌었으면좋겠네요..우리역사도~흑😢,김 비서가 왜 그럴까(애장판) 56화,2,댓글 달기
6610,꼼찌슈,17.05.13,"서로 농담하고 투닥투닥하는 모습들이
직장상사와 비서같지 않고 오래된 연인이나 부부같은 느낌이 들어요..그리 오랜동안 같이 있으면서 생긴 정과 익숙함인건가요..",김 비서가 왜 그럴까(애장판) 28화,2,2
6611,..,17.05.12,만화도 약간만 저렇게 해줘요! 너무 노골적이게는 말구욬ㅋㅋ,김 비서가 왜 그럴까(애장판) 62화,2,댓글 달기
6612,루디,17.05.12,키스했는게 왜 빤스애기가 더 기억에 남지....,김 비서가 왜 그럴까(애장판) 47화,2,댓글 달기
6613,소이,17.05.12,"기억을 찾은게 아니고
연기한거였네ㅠㅠ",김 비서가 왜 그럴까(애장판) 45화,2,댓글 달기
6614,♡쩡아♡,17.05.12,처음 카카오페이지에서 읽은건데 넘잼나게 봤어요,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6615,이러쿵,17.05.12,아쉽다 진짜 ㅠ 이소설은 역대급이예요 재미있었어요! 수고하셨습니다~,김 비서가 왜 그럴까(애장판) 84화(완결),2,댓글 달기
6616,메탈릭로즈,17.05.12,부회장님이 왜 이럴까.로 제목 바꿔야할듯?,김 비서가 왜 그럴까(애장판) 48화,2,댓글 달기
6617,배춧잎이너무해,17.05.11,ㅋㅋ 푸아그라김밥이라... 다들 그렇게 먹지. 순대에 간도 섞어서. 김떡순.,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6618,No.1,17.05.11,띠로리....,김 비서가 왜 그럴까(애장판) 38화,2,댓글 달기
6619,ssj3083,17.05.11,뭐지? 연애하는데 계획안작성? 영준이나 박박사나ㅋㅋ,김 비서가 왜 그럴까(애장판) 34화,2,댓글 달기
6620,피닉스,17.05.11,김비서~~~넘 잼나게 봐서 딴데서 <크리스마스의 남자>를 질러버렸네요.담번엔 <늑대와 신포도>도 꼭 챙겨봐야겠어요~^^,김 비서가 왜 그럴까(애장판) 78화,2,댓글 달기
6621,러비,17.05.11,"급똥 오브 레전드를 여기에서 보는군요 ㅋ
암요 변기뚜껑 잡았다고 끝난게 아니죠
바지벗고 속옷벗고 지대루 앉아야죵 ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
6622,꿈꾸는아저씨!!!,17.05.10,"이게 작업 거는거라면 100% 성공이네...
ㅎ
미소도 웬만하면 끔쩍도 안하는데 결국은 넘어갔네...ㅎ",김 비서가 왜 그럴까(애장판) 23화,2,댓글 달기
6623,못난이희야~,17.05.09,"아 ~ 궁금혀!!!!!! 그래도 남주 자뻑 발전마니하셧슴돠 ~^^ 
얼마안남은 외전 아쉽다.....ㅠㅠ",김 비서가 왜 그럴까(애장판) 82화,2,1
6624,나는나,17.05.09,호진 서정 반갑네! 일상생활이 가능하세요에서는 영준이 완전 밉상으로 그려진다능 ㅜ ㅜ ㅜ,김 비서가 왜 그럴까(애장판) 83화,2,댓글 달기
6625,히히,17.05.08,ㅋㅋㅋ아진짜웃겨,김 비서가 왜 그럴까(애장판) 21화,2,댓글 달기
6626,가을이오면,17.05.08,임신인지도 모르는데 대청소라니요.. 유산의 지름길입니다..,김 비서가 왜 그럴까(애장판) 66화,2,댓글 달기
6627,2빅토리아,17.05.08,읽었는데  어느 순간 또 읽고 있는  나!  ㅋㅋ,김 비서가 왜 그럴까(애장판) 76화,2,댓글 달기
6628,쩡아♥,17.05.07,""" 미소가 내 며느리다"" 라고 왜 말을 못해!!!",김 비서가 왜 그럴까(애장판) 10화,2,댓글 달기
6629,뽀~♡,17.05.07,"하하하 이것들ㅋ
니들 사돈될라ㅋㅋ",김 비서가 왜 그럴까(애장판) 68화,2,댓글 달기
6630,귤딩,17.05.07,작가님 감사해요❤❤❤❤❤❤🖒🖒,김 비서가 왜 그럴까(애장판) 65화,2,댓글 달기
6631,므녜키,17.05.06,ㅋㅋㅋ 태양이 너무 귀엽다,김 비서가 왜 그럴까(애장판) 72화,2,댓글 달기
6632,릴리에타는_세계일짱마총사,17.05.06,하다하다 이젠 문장을 이름으로 짓는다ㅋㅋㅋ 아이고 영준아ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 미소가 널 꽈아아악 잡고 있는 게 얼마나 다행인지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 69화,2,댓글 달기
6633,꼼찌슈,17.05.05,"귀염둥이 장남 이성연님..
그자리서 뒤돌아 티켓팅을 한후
있던곳으로 돌아가시길 추천드립니다..",김 비서가 왜 그럴까(애장판) 23화,2,댓글 달기
6634,aaron,17.05.05,하 ㅠ 저렇게 못자는것도 아무리 적응 한다지만 계속되면 무지 힘든데,김 비서가 왜 그럴까(애장판) 77화,2,댓글 달기
6635,니냐뉴뇨,17.05.05,영준이ㅜㅜㅜㅜㅜ,김 비서가 왜 그럴까(애장판) 55화,2,댓글 달기
6636,랑코맘,17.05.05,연애에 초자....영준...;;;,김 비서가 왜 그럴까(애장판) 59화,2,댓글 달기
6637,혜진이,17.05.05,"영준이는 못 당하네.ㅋ
외전이 나와서 너무나 반가워요~",김 비서가 왜 그럴까(애장판) 79화,2,댓글 달기
