번호,작성자,작성일,댓글,회차,좋아요,대댓글수
42,바람속을걷다,15.12.11,"으음 ᆢ 이건 ᆢ음ᆢ
립밤까지 같이 쓰는 사이인데 이상야릇 내지는  핑크핑크  ᆢ근처에 가기는 커녕
블랙 코미디 커플이라니ᆢ 왠지 눈물이
앞을 가리는구나ᆢ 
너네 진짜  담ㆍ백 그자체였구나 ???",김 비서가 왜 그럴까(애장판) 37화,535,10
43,별리와소리☆★,15.12.10,"ㅋㅋ 성연아 ᆢ
영준이의 블록버스터의 
진짜 저주가 너에게서 발현되는구나 ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 36화,523,5
44,연근,16.01.28,롹스피릿은우리엄마안에살아있어네요.피이쓰하는부분에서빵터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 72화,522,7
45,바람불다♡♡,15.12.08,"그러게요 30년된 50대부부 ~♡♡
미소야 ᆢ 넘 멀리 가지마 ᆢ 니가 찾는 오빠 
옆에 있어 로설의 정석이지 ???
ᆢ무플로 영준 뜻대로 미소가 자기 감정 깨닫는 계기가 될 수 있을라나요 ㅋㅋ",김 비서가 왜 그럴까(애장판) 15화,520,3
46,바람속을걷다,15.12.07,"음ᆢ부사장 납치사건에 우연히 미소가 휘말렸을 가능성도 있어요 
만약 납치사건이라면ᆢ 하지만 단순히 미소가 짧게 길을 헤맨 사건이라면 ᆢ
ᆢ 그냥 하루하루 읽어 가도록 하죠???",김 비서가 왜 그럴까(애장판) 07화,516,14
47,달의정원,15.12.13,"음ᆢ 용과 봉황과 해ᆢ 셋인가요?
아니면 품에 안긴 해ᆢ하나인가요?

하나라면ᆢ 용과 봉황을 거느리는 해ᆢ
장난아니겠는데요 ᆢ 헐~
하긴 ᆢ 저 영준이와 미소의 2세가 보통일리가 없겠죠 ᆢㅎㅎ",김 비서가 왜 그럴까(애장판) 67화,511,31
48,바람불다♡♡,15.12.07,"이거ᆢ 바탕에 깔린 과거는 생각보다 더 어둡고 무거운거 같은데ᆢ
헐헐~진행은 빵빵 터지네 ㅋㅋ
그래ᆢ미소야 영준의 입장에서 보니ᆢ
많이 배려하더구나 
영준이는 어린시절의 너를 알아 본건가 ᆢ",김 비서가 왜 그럴까(애장판) 13화,509,4
49,🌙💫✨🌟💍,16.01.20,자기 트라우마도 엄청난 와중에 미소 충격 줄여주려고 목 매 죽은 여자가 아니라 거미로 이미지 치환시켜 놓았는데 그걸 다시 끔찍한 원본으로 돌리고 싶지 않은 거였구나. 안타깝게 그 이미지는 이제 깨져 버렸지만 영준이라면 그때처럼 미소 잘 지켜주겠지.,김 비서가 왜 그럴까(애장판) 53화,508,2
50,써니랑,15.12.13,"영준이가 미소 오빠같음...
납치 당할때에 형이 목격자인데 아무래도 거짓으로 가르쳐 주어서 경찰들이 못 찿은것 같음.
그래서 형을 싫어 하는것 같음.
키도 영준이가 컸다고 했으니 납치 당할때에 형이 동생 영준인척 했을 수도 ...   우연히 미소가 납치 장소에 나타나 영준 탈출에 도움을 주었고 거미라고 생각한것은 납치녀가 목 매달아 죽은것 봤을 수도...",김 비서가 왜 그럴까(애장판) 24화,507,31
51,별리와소리☆★,15.12.12,"미소 ᆢ 영준이 없었으면 죽었었겠네 니 입장에선 영준이가  납치된게 천운 ᆢ
혼자였다면 ᆢ ㅠㅠ",김 비서가 왜 그럴까(애장판) 53화,504,5
52,달의정원,15.12.08,"음ᆢ여기에서 잠시ᆢ
영준의 기억에서 보면 유괴 ..??
미소의 기억에서 보면 끼익 끼익 되는 소리가 싫고 커다란 거미 ᆢ
영준이 부정하는 거미ᆢ 
이거 혹시 유괴한 사람이 목매달고 죽은 상황인가요 ??",김 비서가 왜 그럴까(애장판) 23화,492,32
53,ㅍㄹㅅㄱ,15.12.07,무료는 여기까지네요. 별 생각없이 시작했는데 중간에 쉴 수가 없어서 댓글 하나 못 달고 읽어내렸어요. 남여 주인공 성격도 비정상적인 부분 없이 적당히 매력적이고 글 전체가 현실감 있게 씌어서 잘 읽히네요. 재미있게 읽고 있어요.,김 비서가 왜 그럴까(애장판) 06화,491,7
54,아미,15.12.29,벗어,김 비서가 왜 그럴까(애장판) 48화,487,23
55,SarahYoon,16.02.12,"영준이네 집, 회장댁은 사건의 책임 여부를 서로 자기 앞으로 돌리는 사이.
미소네는 미소가 유괴당한 사실조차 모르고 있다는 거.
영준이가 23년 간 짊어진 짐의 무게를 안타까워하는 반면, 미소네는 미소가 거미랑 어떤 트라우마가 있는지 모른다는 점.",김 비서가 왜 그럴까(애장판) 56화,481,8
56,엄지엄지,15.12.28,"아! 정말 작가님 누군지 너무 궁금해 미칠지경이에요 ""남산위의 저 소나무 철갑을 두룬듯 꿋꿋한 태도""  아!!! 정말 입담 필력 천재에요",김 비서가 왜 그럴까(애장판) 65화,477,9
57,달의정원,15.12.11,"푸하하 ᆢ 나나 인형에  영준이는 신부감이 먼저 프로포즈 해오네  
이 심각한 장면에서 커피도 귀양 보내고 배꼽도 귀양보내고 있는 나는 뭐임 ᆢ??    ㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 52화,472,4
